"KEY","EN","BG","ESP"
"STR_TABLE_PAY_CLUSTER","Pay Cluster","",""
"STR_TABLE_BET_LINE","Bet/Line","Залог/Линия","Apuesta/Línea"
"STR_TABLE_BET_KENO","Bet","Залог","Apuesta"
"STR_TABLE_BET_2_LINES","Bet Per 2 Lines","Залог за 2 Линии","Apuesta/2 Líneas"
"STR_TABLE_BET_MULTIPLIER","Bet Multiplier","Множител на залозите","Multiplicador de Apuesta"
"STR_TABLE_TOTAL_BET","Total Bet","Общ залог","Apuesta Total"
"STR_TABLE_BET_FOR_LINES","Bet per %1 Lines","Залог на %1 Линии","Apuesta por %1 Líneas"
"STR_TABLE_REEL_WAYS_TO_PAY","Reel Ways Pay","Комбинации на печалби","Ways Pay de Rodillo:"
"STR_TABLE_JUMBOWAYS_TO_PAY","Jumboways",,
,,,
"STR_SAS","SAS","SAS","SAS"
"STR_PROGRESSIVES","Progressives","Прогресивен","Progresivos"
"STR_PRIMARY_MYSTERY","Primary Mystery","Главно Мистери","Misterio Principal"
"STR_SECONDARY_MYSTERY","Secondary","Второстепенно","Secundario"
"STR_PROGRESSIVE_LABEL","Progressive:","Прогресивен:","Progresivo:"
"STR_PRIMARY_MYSTERY_LABEL","Primary Mystery:","Главно Мистери:","Misterio Principal:"
"STR_SECONDARY_MYSTERY_LABEL","Secondary:","Второстепенно:","Secundario:"
"STR_ALL_GAMES","All Games","Всички Игри","Todos los Juegos"
,,,
"STR_JP_SAS_SPLASH_CLEAR","Jackpot Splash Clear:","Изчистване на Джакпотния Сплаш:","Limpieza de Jackpot Splash:"
"STR_JP_SAS_CHANNEL","SAS Channel:","SAS Канал:","Canal SAS:"
"STR_JP_SAS_GROUP","Group:","Група:","Grupo:"
"STR_JP_SPLASH_AUTO","Auto","Автоматичен","Auto"
"STR_JP_SPLASH_KEY","Key","Ключ","Llave"
"STR_SAS_GAME_GROUP","Group:","Група:","Grupo:"
"STR_SAS_LEVEL_FOR_PLAYER_DENOMINATION","Progressive Level for Player Denomination: %1 ",,"Nivel Progresivo para Denominación de Jugador: %1"
,,,
"STR_JACKPOT_SETUP","Jackpot Setup","Настройка на Джакпота","Ajuste de Jackpot"
"STR_SERVER_SETTINGS","Server Settings","Настройки на Сървъра","Configuración de Servidor"
"STR_VARIANT_TYPE_HEADER","Variant Type","Тип вариант","Tipo de Variante"
"STR_JACKPOT_ID_HEADER","Jackpot ID","Джакпот ID","ID de Jackpot"
"STR_DENOM","Denom %1","Деноминация %1","Denom %1"
"STR_DENOM_1","Denom 1:","Деноминация 1:","Denom 1:"
"STR_DENOM_2","Denom 2:","Деноминация 2:","Denom 2:"
"STR_DENOM_3","Denom 3:","Деноминация 3:","Denom 3:"
"STR_DENOM_4","Denom 4:","Деноминация 4:","Denom 4:"
"STR_VARIANT_TYPE_PDF_LABEL","Variant Type:","Тип вариант:","Tipo de Variante:"
"STR_JACKPOT_ID_PDF_LABEL","Jackpot ID:","Джакпот ID:","D de Jackpot:"
"STR_JACKPOT_ID","Jackpot ID:","Джакпот ID:","ID de Jackpot:"
"STR_VARIANT_TYPE","Variant Type:","Тип вариант:","Tipo de Variante:"
"STR_DEACTIVATION_ALLOWED","Deactivation Allowed:","Деактивиране Позволено:","Desactivación Permitida:"
"STR_JACKPOT_ACTIVE","Jackpot Active:","Джакпот Активен:","Jackpot Activo:"
"STR_LIST_PPC_SERIAL_NUMBERS","List of PPC Serial Numbers:","Списък на серийните номера на PPC:","Lista de Números de Serie PPC:"
"STR_SELECTED_PPC_SERIAL_NUMBER","Selected PPC Serial Number:","Избрани серийни номера на PPC:","Número de Serie PPC Seleccionado:"
"STR_JP_VARIANT_LC","Lady's Cards","Lady's Cards","Lady's Cards"
"STR_JP_VARIANT_PLM","PLM","PLM","PLM"
"STR_JP_VARIANT_CARDS","Jackpot Cards","Jackpot Cards","Jackpot Cards"
"STR_JP_VARIANT_2HH_1","2 Happy Hits - 1","2 Happy Hits - 1","2 Happy Hits - 1"
"STR_JP_VARIANT_2HH_2","2 Happy Hits - 2","2 Happy Hits - 2","2 Happy Hits - 2"
"STR_JP_VARIANT_2HH_3","2 Happy Hits - 3","2 Happy Hits - 3","2 Happy Hits - 3"
"STR_JP_VARIANT_2HH_4","2 Happy Hits - 4","2 Happy Hits - 4","2 Happy Hits - 4"
"STR_JP_VARIANT_2HH_5","2 Happy Hits - 5","2 Happy Hits - 5","2 Happy Hits - 5"
"STR_JP_VARIANT_2HH_6","2 Happy Hits - 6","2 Happy Hits - 6","2 Happy Hits - 6"
"STR_JP_VARIANT_2HH_7","2 Happy Hits - 7","2 Happy Hits - 7","2 Happy Hits - 7"
"STR_JP_VARIANT_COINS","Coin Jackpot","Coin Jackpot","Coin Jackpot"
"STR_JP_VARIANT_DTPROGRESSIVE_1","Dragons Turn_1","Dragons Turn_1","Dragons Turn_1"
"STR_JP_VARIANT_DTPROGRESSIVE_2","Dragons Turn_2","Dragons Turn_2","Dragons Turn_2"
"STR_JP_VARIANT_DTPROGRESSIVE_3","Dragons Turn_3","Dragons Turn_3","Dragons Turn_3"
"STR_JP_VARIANT_DTPROGRESSIVE_4","Dragons Turn_4","Dragons Turn_4","Dragons Turn_4"
"STR_JP_VARIANT_DTPROGRESSIVE_5","Dragons Turn_5","Dragons Turn_5","Dragons Turn_5"
"STR_JP_VARIANT_DTPROGRESSIVE_6","Dragons Turn_6","Dragons Turn_6","Dragons Turn_6"
"STR_JP_VARIANT_DTPROGRESSIVE_7","Dragons Turn_7","Dragons Turn_7","Dragons Turn_7"
,,,
"STR_JP_PROGRESSIVE_SPLASH_CLEAR","Progressive Jackpot splash clear:","Изчистване сплаша на Прогресивния Джакпот:","Limpieza de Jackpot Splash Progresivo:"
"STR_JP_MYSTERY_SPLASH_CLEAR","Mystery Jackpot Splash Clear:","Изчистване сплаша на Мистери Джакпота:","Limpieza de Jackpot Splash Misterio:"
"STR_JP_TIMER_AUTO_SELECT_IN_BONUS_GAME","Jackpot Bonus Auto Start Time:","Време за автоматично стартиране на Джакпотния Бонус:","Tiempo de Inicio Auto en Juego Jackpot:"
"STR_JP_MYSTERY_BONUS_GAME","Jackpot Bonus Game:","Джакпотна Бонусна Игра:","Juego Bonus Jackpot:"
"STR_JP_MYSTERY_BONUS_AUTO_START_TIME","Jackpot Bonus Auto Start Time:","Време за автоматично стартиране на Джакпотния Бонус:","Tiempo de Inicio Auto en Juego Jackpot:"
"STR_JP_MYSTERY_ROULETTE_BONUS_GAME_BEHAVIOUR","Roulette JP Bonus Game Behaviour:","Поведенияе на Рулетния JP Бонус:","Comportamiento de Juego Bonus en Ruleta JP:"
"STR_JP_MYSTERY_BONUS_AUTO","Jackpot Bonus Auto:",,"Bonus Jackpot Auto:"
"STR_JP_ASSIGNED_GAMES_LIST","Assigned Games List:","Списък на зададените игри:","Lista de Juegos Asignados:"
"STR_JP_MYSTERY_ACTIVE_VALID_FOR_FOLLOWING_GAMES","Jackpot Active Option is Valid for the Following Games Only:","Активната опция за Джакпот е валидна само за следните игри:","La Opción Activa de Jackpot es Válida Solo para los Siguientes Juegos:"
,,,
"STR_SECOND_MONITOR_SHOW_PPJS_VALUES","Show PPJS Jackpot Values:","Показване на стойностите на PPJS джакпота:","Mostrar los Valores de Jackpot PPJS:"
"STR_SECOND_MONITOR_DEFAULT_PAGE","Second Monitor Default Page:","Подразбираща страница на втория монитор:","Página por defecto del Segundo Monitor:"
"STR_JP_DEFAULT_PAGE_PAYTABLE","Paytable","Печалби","Tabla de Pagos"
"STR_JP_DEFAULT_PAGE_PPJS_VALUES","PPJS Jackpot Values","Стойностите на PPJS джакпота:","Valores de Jackpot PPJS"
,,,
"STR_ROULETTE_CLIENT","Roulette %1","Рулетка %1","Cliente %1 de Ruleta"
"STR_ROULETTE_CLIENT_EXTENDED","Roulette  %1 - %2","Рулеткa %1 - %2","Ruleta %1 - %2"
"STR_ROULETTE_CLIENT_TYPE","Client type:","Тип клиент:","Tipo de cliente:"
"STR_ROULETTE_COLOR_TYPE","Color type:","Тип на цвета:","Tipo de color:"
"STR_ROULETTE_PROTOCOL_TYPE","Protocol type:","Тип на протокола:","Tipo de protocolo:"
"STR_ROULETTE_FAST_PLAY","Fast Play:","Бърза игра:","Juego rapido:"
"STR_ROULETTE_VOICE_ANNOUNCEMENTS","Voice Announcements:","",""
,,,
"STR_EUROPEAN","European","Европейска","Europea"
"STR_EUROPEAN_LIVE","European Live","Европейска Жива","Europea Live"
"STR_EUROPEAN_AUTOMATIC","European Automatic","Европейска Автоматична","Europea Automática"
"STR_EUROPEAN_VIRTUAL","European Linked Virtual","Европейска Свързана Виртуална","Europea Vinculado Virtual"
"STR_EUROPEAN_LOCAL","European Stand-Alone Virtual","Европейска Самостоятелна Виртуална","Europea ser único Local"
"STR_AMERICAN","American","Американска","Americana"
"STR_AMERICAN_LIVE","American Live","Американска Жива","Americana Live"
"STR_AMERICAN_AUTOMATIC","American Automatic","Американска Автоматична","Americana Automática"
"STR_AMERICAN_VIRTUAL","American Virtual","Американска Виртуална","Americana Virtual"
"STR_AMERICAN_LOCAL","American Local","Американска Локална","Americana Local"
,,,
"STR_PROTOCOL_STANDARD","Standard","Стандарт","Estándar"
"STR_PROTOCOL_RIGEL","Rigel","Ригел","Rigel"
"STR_PROTOCOL_GENERAL","General","Генерал","General"
,,,
"STR_ROULETTE_DENOMINATION_SETTINGS","Denomination Settings","Настройки на деноминациите","Ajustes de Denominación"
"STR_ROULETTE_BET_LIMITS_SETTINGS","Bet Limits and Settings","Лимит на залога и Настройки","Límites de Apuesta y Ajustes"
"STR_ROULETTE_NETWORK_SETTINGS","Network Settings","Мрежови настройки","Ajustes de Red"
"STR_ROULETTE_DYNAMIC_PAYTABLE_SETTINGS","Dynamic Paytable","",""
"STR_ROULETTE_WHEEL_SETTINGS","Wheel Settings","Настройки на колелото","Ajustes de Ruleta"
"STR_BET_TIME","Bet Time","Време за залог","Tiempo de Apuesta"
"STR_IDLE_TIME","Idle Time","Свободно време","Тiempo de Inactividad"
,,,
"STR_NVRAM_ROULETTE_DYNAMIC_PAYTABLE","Dynamic Paytable:","",""
"STR_NVRAM_ROULETTE_GOLD_PAYTABLE","33x/48x/72x - RTP:","",""
"STR_NVRAM_ROULETTE_EVOLUTION_PAYTABLE","30x/50x/100x/150x/200x/250x/500x - RTP:","",""
"STR_NVRAM_ROULETTE_DIAMOND_PAYTABLE","30x/60x/90x/120x - RTP:","",""
"STR_PAYTABLE","Paytable","Paytable","Paytable"
,,,
"STR_ROULETTE_MACHINE_IP","Machine IP address:","IP на машината:","Dirección IP de máquina:"
"STR_ROULETTE_MACHINE_GATEWAY","Machine Gateway address:","Шлюз на машината:","Dirección de Puerta de Enlace de máquina:"
"STR_ROULETTE_SERVER_IP","Roulette Server IP:","IP на рулетния сървър:","IP de Servidor de Ruleta:"
"STR_ROULETTE_SERVER_IP_LABEL","default server ip: 10.0.0.1","адрес по подразбиране: 10.0.0.1","ip del servidor por defecto: 10.0.0.1"
"STR_ROULETTE_PLAY_STATION_ID","Play Station Id:","ID на игрално място:","ID de Estación de Juego:"
"STR_ROULETTE_STREAMER_ADDRESS","Streamer Address:","Адрес на Стримъра:","Dirección de Streamer:"
"STR_ROULETTE_MULTICAST_MODE","Set multicast:",,"Ajustar multicast:"
"STR_ROULETTE_MULTICAST_ADDRESS","Multicast Address:",,"Dirección de Multicast:"
"STR_ROULETTE_MULTICAST_PORT","PORT:","ПОРТ:","PORT:"
"STR_ROULETTE_SERVER_VERSION","Server version:","Версия на сървъра:","Versión de servidor:"
"STR_ROULETTE_SERVER_PROTOCOL_VERSION","Protocol version:","Версия на протокола:","Versión de protocolo:"
"STR_ROULETTE_IDENTITY","Identity: ","Identity: ","Identity: "
"STR_ROULETTE_FINGERPRINT","Fingerprint (UID): ","Fingerprint (UID): ","Fingerprint (UID): "
"STR_ROULETTE_HWID","HW ID: ","HW ID: ","HW ID: "
"STR_ROULETTE_IMAGECHECKSUMMD5","Image checksum MD5: ","Image checksum MD5 ","Image checksum MD5: "
"STR_ROULETTE_IMAGECHECKSUMSHA1","Image checksum SHA1: ","Image checksum SHA1: ","Image checksum SHA1: "
"STR_ROULETTE_GAMECFSERIALNUMBER","Game CF Serial Number: ","Game CF Serial Number: ","Game CF Serial Number: "
"STR_ROULETTE_CFCHECKSUMMD5","CF checksum MD5: ","CF checksum MD5 ","CF checksum MD5: "
"STR_ROULETTE_CFCHECKSUMSHA1","CF checksum SHA1: ","CF checksum SHA1: ","CF checksum SHA1: "
"STR_ROULETTE_CLEARCFSERIALNUMBER","Clear CF Serial Number: ","Clear CF Serial Number: ","Borrar número de serie de CF: "
"STR_ROULETTE_CLEARED","Cleared: ","Изчистено: ","Despejado: "
"STR_ROULETTE_UPTIME","Uptime: ","Uptime: ","Tiempo de actividad: "
"STR_ROULETTE_PICVERSION","PIC version: ","PIC версия: ","PIC version:"
"STR_ROULETTE_SERVERTIME","Server time: ","Сървърно време: ","server time: "
"STR_ROULETTE_REVISION","Revision: ","Ревизия: ","Revision: "
,,,
"STR_ROULETTE_STREAMER_IP_TYPE","Address type:","Тип адрес:","Tipo de address:"
"STR_IPV4","IPv4","IPv4","IPv4"
"STR_IPV6","Auto","Auto","Auto"
,,,
"STR_ROULETTE_STREAMER_TYPE","Streamer type:","Тип стриймър:","Tipo de streamer:"
"STR_ANALOG_CAMERA","Analog Camera","Аналогова Камера","Analog Camera"
"STR_DIGITAL_CAMERA","Digital Camera","Цифрова Камера","Digital Camera"
,,,
"STR_ROULETTE_CLIENT_SUBTYPE","Client Subtype:","Тип подклиент:","Client Subtype:"
"STR_FULL_SIZE_VIDEO_STREAM","Full Size Video Stream","Видео Стриймър на целия екран","Full Size Video Stream"
"STR_RESIZABLE_VIDEO_STREAM","Resizable Video Stream","Променящ се Видео Стриймър","Resizable Video Stream"
,,,
"STR_ROULETTE_STREAMER_VIEW_ZOOM","Streamer view zoom:","Увеличение на стриймър изгледа:","Streamer view zoom:"
"STR_STREAMER_ZOOM_NONE","No Zoom","Без увеличение","No Zoom"
"STR_STREAMER_ZOOM_X1_2","x1.2","x1.2","x1.2"
"STR_STREAMER_ZOOM_X1_5","x1.5","x1.5","x1.5"
"STR_STREAMER_ZOOM_X2","x2","x2","x2"
,,,
"STR_ROULETTE_STREAMER_OFFSET_LEFT","Streamer view offset left:","Отместване на стриймър изгледа от ляво:","Streamer view offset left:"
"STR_ROULETTE_STREAMER_OFFSET_TOP","Streamer view offset top:","Отместване на стриймър изгледа от горе:","Streamer view offset top:"
"STR_ROULETTE_STREAMER_WIDTH","Streamer view width:","Широчина на стриймър изгледа:","Streamer view width:"
"STR_ROULETTE_STREAMER_HEIGHT","Streamer view height:","Височина на стриймър изгледа:","Streamer view height:"
,,,
"STR_ROULETTE_NETWORK_CHECK","Check Network","Проверка на мрежата","Comprobar Red"
"STR_ROULETTE_NETWORK_GET_WHEEL_HASH","Get Wheel Hash","Вземи хеша на колелото","Obtener Hash de Ruleta"
"STR_ROULETTE_NETWORK_VALIDATE_WHEEL","Validate Wheel","Валидация на колелото","Validar Ruleta"
,,,
"STR_ROULETTE_NETWORK_DISCOVER_ROULETTE_SERVER","Discover Roulette Server","Намери Рулетен Сървър","Descubrir el servidor de ruleta"
"STR_ROULETTE_NETWORK_DISCOVER_ROULETTE_SERVER_IP","IP","IP","IP"
"STR_ROULETTE_NETWORK_DISCOVER_ROULETTE_SERVER_PROTOCOL_TYPE","Protocol Type","Тип на Протокола","Tipo de protocolo"
"STR_ROULETTE_NETWORK_DISCOVER_ROULETTE_SERVER_WHEEL_NAME","Wheel Name","Име на колело","Nombre de la rueda"
"STR_ROULETTE_NETWORK_DISCOVER_ROULETTE_SERVER_TIME_STAMP","Time Stamp","Време на събитието","Marca Temporal"
"STR_ROULETTE_NETWORK_VIDEO_STREAM_SETTINGS","Video Stream Settings","Настройки на Видео Стримърa","Ajustes de Vídeo Streaming"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_SETTINGS","Server Settings","Настройки на сървъра","Configuración de Servidor"
"STR_ROULLETTE_NETWORK_RIGEL_NETWORK_SETTINGS","Network Settings","Мрежови настройки","Ajustes de Red"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_CONTROL","Controls","Контроли","Control del servidor"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_ACCOUNTING","Accounting","Отчет","Servidor de contabilidad"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_STATISTICS","Statistics","Статистика","Estadísticas del servidor"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_EVENT_LOG","Event Logs","Списък със събития","Registro de eventos del servidor"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_INFO","Server Info","Сървърна информация","Información del servidor"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_AUTHORIZATION","Authorization","Ауторизация","Autorización del servidor"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_JACKPOT_DN","JP Diamond Number","Джакпот Диамантено Число","Número de diamante del bote del servidor"
"STR_RIGEL_ROULETTE_LABEL_JACKPOT","Diamond Number JP:","Diamond Number JP:","Diamond Number JP:"
"STR_RIGEL_ROULETTE_BASE_CODE","Base code:","Базов код:","Base code:"
"STR_RIGEL_ROULETTE_TIME_LEFT","Time left:","",""
"STR_RIGEL_ROULETTE_TIME_TO_ENTER_CODE","Time to enter code:","",""
"STR_RIGEL_ROULETTE_REMAINING_ATTEMPTS","Remaining attempts:","",""
"STR_RIGEL_ROULETTE_ENTER_CODE","Enter code:","",""
"STR_RIGEL_ERROR_DIAMOND_JP_NOT_SUPPORTED","Warning 'Diamonds and Sapphires' and 'Diamonds Only' options are NOT supported","",""
,,,
"STR_RIGEL_ROULETTE_TYPE","Roulette Type:"," "," "
"STR_RIGEL_ROULETTE_TYPE_OPTION_1","Single Zero"," "," "
"STR_RIGEL_ROULETTE_TYPE_OPTION_2","Double Zero"," "," "
"STR_RIGEL_WHEEL_TYPE","Wheel Type:"," "," "
"STR_RIGEL_WHEEL_TYPE_OPTION_1","Automatic"," "," "
"STR_RIGEL_WHEEL_TYPE_OPTION_2","Live"," "," "
"STR_RIGEL_INTRUSION_BEHAVIOUR","Intrusion Behaviour:"," "," "
"STR_RIGEL_INTRUSION_BEHAVIOUR_OPTION_1","Do Nothing"," "," "
"STR_RIGEL_INTRUSION_BEHAVIOUR_OPTION_2","Invalid Game"," "," "
"STR_RIGEL_WHEEL_MALFUNCTION_TIMEOUT","Wheel Malfunction Timeout:"," "," "
"STR_RIGEL_BLOW_SPEED","Blow Speed:"," "," "
"STR_RIGEL_PLAYER_READY_OPTION","Fast play:"," "," "
"STR_RIGEL_PLAYER_READY_TIMEOUT","Fast play timeout:"," "," "
"STR_RIGEL_DYNAMIC_PAYTABLE","Dynamic paytable:"," "," "
"STR_RIGEL_STREAM_URL_SEC","Secondary stream:"," "," "
"STR_RIGEL_LOCK","Lock"," "," "
"STR_RIGEL_BLOW_BALL","Blow Ball:"," "," "
"STR_RIGEL_BLOW_BALL_OPTION_1","Before NMB"," "," "
"STR_RIGEL_BLOW_BALL_OPTION_2","After NMB"," "," "
"STR_RIGEL_VOICE","Voice:"," "," "
"STR_RIGEL_VOICE_OPTION_1","English"," "," "
"STR_RIGEL_VOICE_OPTION_2","French"," "," "
"STR_RIGEL_VOICE_OPTION_3","Spanish"," "," "
"STR_RIGEL_VOICE_OPTION_4","Romanian"," "," "
"STR_RIGEL_VOICE_OPTION_5","Hungarian"," "," "
"STR_RIGEL_VOICE_OPTION_6","Georgian"," "," "
"STR_RIGEL_VOICE_OPTION_7","German"," "," "
"STR_RIGEL_BET_TIME","Bet Time:"," "," "
"STR_RIGEL_LAST_BETS_TIME","Last Bets Time:"," "," "
"STR_RIGEL_IDLE_LAUNCH","Idle Launch:"," "," "
"STR_RIGEL_VOLUME_CENTER","Volume Center:"," "," "
"STR_RIGEL_PLAYSTATION_VOICE","Playstation Voice:"," "," "
"STR_RIGEL_COLOR_SCHEME","Color Scheme:"," "," "
"STR_RIGEL_COLOR_SCHEME_OPTION_1","Green"," "," "
"STR_RIGEL_COLOR_SCHEME_OPTION_2","Blue"," "," "
"STR_RIGEL_COLOR_SCHEME_OPTION_3","Red"," "," "
"STR_RIGEL_COLOR_SCHEME_OPTION_4","Black"," "," "
"STR_RIGEL_COLOR_SCHEME_OPTION_5","Yellow"," "," "
"STR_RIGEL_COLOR_SCHEME_OPTION_6","Classic"," "," "
"STR_RIGEL_AUTO_MAXIMIZE_VIDEO","Auto-Maximize Video:"," "," "
"STR_RIGEL_STREAM_URL","Stream URL:"," "," "
"STR_RIGEL_SHOW_VIDEO_ON_STATISTICS","Show Video On Statistics:"," "," "
"STR_RIGEL_CURRENCY_CODE","Currency Code:"," "," "
"STR_RIGEL_LABEL","Label:"," "," "
"STR_RIGEL_ROTOR_SPEED","Rotor Speed:"," "," "
"STR_RIGEL_SHOW_BET_WIN_TOTALS","Show Bet/Win Totals:"," "," "
"STR_RIGEL_SHOW_BET_WIN_TOTALS_OPTION_1","Don't Show"," "," "
"STR_RIGEL_SHOW_BET_WIN_TOTALS_OPTION_2","Show only Bet"," "," "
"STR_RIGEL_SHOW_BET_WIN_TOTALS_OPTION_3","Show only Win"," "," "
"STR_RIGEL_SHOW_BET_WIN_TOTALS_OPTION_4","Show Both"," "," "
"STR_RIGEL_STATISTICS_ORIENTATION","Statistics Orientation:"," "," "
"STR_RIGEL_STATISTICS_ORIENTATION_OPTION_1","FullHD Vertical"," "," "
"STR_RIGEL_STATISTICS_ORIENTATION_OPTION_2","FullHD Horizontal"," "," "
"STR_RIGEL_STATISTICS_ORIENTATION_OPTION_3","HD Vertical"," "," "
"STR_RIGEL_STATISTICS_ORIENTATION_OPTION_4","HD Horizonral"," "," "
"STR_RIGEL_HEARTBEAT","Heartbeat:"," "," "
"STR_RIGEL_NUMBER","No:"," "," "
"STR_RIGEL_HITS","Hits:"," "," "
"STR_RIGEL_PERCENT","Percent:"," "," "
,,,
"STR_RIGEL_MCS_ADDRESS","MCS Address:"," "," "
"STR_RIGEL_WHEEL_IP_ADDRESS","Wheel IP Address:"," "," "
"STR_RIGEL_SUBNET_MASK","Subnet Mask:"," "," "
"STR_RIGEL_DEFAULT_GATEWAY","Default Gateway:"," "," "
"STR_RIGEL_INTERFACE_ETH","Interface eth:"," "," "
"STR_RIGEL_REQUIRE_MCS","Require MCS:"," "," "
"STR_RIGEL_MECHANICAL_COUNTERS","Mechanical Counters:"," "," "
,,,
"STR_RIGEL_DISABLED","Disabled"," "," "
"STR_RIGEL_ENABLED","Enabled"," "," "
,,,
"STR_ROULETTE_SERVER_SERIAL_NUMBER","Roulette Server Serial Number","Сериен Номер на Рулетния Сървър","Número de Serie de Servidor de Ruleta"
"STR_LIST_SERIAL_NUMBERS","List of Serial Numbers:","Списък на серийните номера:","Lista de Números de Serie:"
"STR_SELECTED_SERIAL_NUMBER","Selected Serial Number:","Избран сериен номер:","Número de Serie Seleccionado:"
,,,
"STR_ROULETTE_NETWORK_PLEASE_WAIT","Please wait...","Моля, изчакайте ...","Por favor, espere..."
"STR_ROULETTE_NETWORK_SETTINGS_OK","Network settings are OK","Мрежовите настройки са наред","La configuración de red es OK"
"STR_ROULETTE_NETWORK_ERRORS","Network error: %1","Грешка в мрежата: %1","Error de red: %1"
"STR_ROULETTE_NETWORK_ERROR_CABLE","Cable Connection","Кабелна връзка","Conexión por Cable"
"STR_ROULETTE_NETWORK_ERROR_PING","PING - %1","PING - %1","PING - %1"
"STR_ROULETTE_NETWORK_CANNOT_CONNECT_TO_SERVER","Could not connect to server.","Не може да се свърже със сървъра.","No se pudo conectar al servidor."
"STR_ROULETTE_NETWORK_WHEEL_HASH","Wheel Hash: %1","Хеш на колелото: %1","Hash de Ruleta: %1"
,,,
"STR_ROULETTE_CHIP_VALUE","Chip %1 Value in credits:","Чип %1 Стойност в кредити:","Valor de Ficha %1 en créditos:"
"STR_ROULETTE_REPEAT_PARTIAL","Repeat Partial:",,"Repetir Parcial:"
"STR_ROULETTE_LIMITS_INFO","If %1 is assigned %2 <= %3","Ако %1 е присвоена %2 <= %3","Si %1 es asignado %2 <= %3"
"STR_ROULETTE_MYSTERY_JP_NAME","CBJS/VJS Mystery","CBJS/VJS Мистири","Misterio CBJS/VJS"
"STR_ROULETTE_GAME_MAX_BET","Game Max Bet","Максимален залог на игра","Apuesta Máx de Juego"
"STR_ROULETTE_TOTAL_GAME_BET","Total Game Bet","Общ залог на игра","Apuesta Total de Juego"
"STR_ROULETTE_STRAIGHT_UP_BET","Straight Up Bet",,"Apuesta Directa"
"STR_ROULETTE_SPLIT_BET","Split Bet","Разделен залог","Apuesta Dividida"
"STR_ROULETTE_STREET_BET","Street Bet",,"Apuesta Esquina"
"STR_ROULETTE_CORNER_BASKET_BET","Corner & Basket Bet",,"Apuesta Esquina & Basket"
"STR_ROULETTE_CORNER_TOP_LINE_BET","Corner & Top Line Bet","Корнер залог и залог на горна линия","Apuesta Esquina & Línea Superior"
"STR_ROULETTE_LINE_BET","Line Bet","Залог на линия","Apuesta de Línea"
"STR_ROULETTE_COLUMN_DOZEN_BET","Column & Dozen Bet","Колона и залог на дозина","Apuesta a Columna & Docena"
"STR_ROULETTE_ODD_HIGH_BLACK_BET","Even/Odd & Low/High & Red/Black Bet","Четно/Нечетно и Ниско/Високо и Червено/Черно Залог","Apuesta Par/Impar & Alto/Bajo & Rojo/Negro"
"STR_ROULETTE_SET_PROPORTIONAL_TO_STRAIGHT_UP_MAX_BET","Set Proportional to Straight Up Max Bet",,"Ajustar Proporcional a Apuesta Directa Máx"
"STR_ROULETTE_SET_DEFAULT_LIMITS","Set Default Limits","Настройка на базови лимити","Ajustar Límites por Defecto"
"STR_ROULETTE_CONFIGURATION_UPDATED","Configuration updated!!!","Конфигурирането се актуализира!!!","¡¡¡Configuración actualizada!!!"
,,,
"STR_ROULETTE_DENOMINATION_SETTINGS_TITLE","%1 Roulette - Denomination Settings","%1 Рулетка - Настройки на деноминация","%1 Ruleta - Ajustes de Denominación"
"STR_ROULETTE_CHOOSE_ONE_DENOMINATION","Choose one of the following denominations:","Изберете едно от следните деноминации:","Elija una de las siguientes denominaciones:"
"STR_ROULETTE_PLAYER_DENOMINATION","%1 Player Denomination %2:","%1 Деноминация на играч %2:","Jugador %1 Denominación %2:"
,,,
"STR_CASHABLE_VOUCHER_IN_LABEL","Cashable Voucher In: ","Ваучер за разплащане в:","Entrada de Vales Reembolsables:"
"STR_CASHABLE_VOUCHER_IN_COUNT_LABEL","Cashable Voucher In count: ","Ваучер за разплащане в брой:","Cuenta de Entrada de Vales Reembolsables:"
"STR_PROMOTIONAL_VOUCHER_IN_LABEL","Promotional Voucher In: ","Промоционален ваучер в:","Entrada de Vale Promocional:"
"STR_PROMOTIONAL_VOUCHER_IN_COUNT_LABEL","Promotional Voucher In count: ","Промоционален ваучер в брой:","Cuenta de Entrada de Vales Promocionales:"
"STR_NON_CASHABLE_VOUCHER_IN_LABEL","Non-cashable Voucher In: ","Вкарани неизплатими ваучери:","Entrada de Vales No-Reembolsables:"
"STR_NON_CASHABLE_VOUCHER_IN_COUNT_LABEL","Non-cashable Voucher In count: ",,"Cuenta de Entrada de de Vales No-Reembolsables:"
"STR_CASHABLE_VOUCHER_OUT_LABEL","Cashable Voucher Out: ","Изкарани ваучери за разплащане:","Salida de Vales Reembolsables:"
"STR_CASHABLE_VOUCHER_OUT_COUNT_LABEL","Cashable Voucher Out count: ",,"Cuenta de Salida de Vales Reembolsables:"
"STR_NON_CASHABLE_VOUCHER_OUT_LABEL","Non-cashable Voucher Out: ","Изкарване на ваучери неизплатими в брой:","Salida de Vales No-Reembolsables:"
