"KEY","EN","BG","ESP","PT"
"Accounting","Contabilidad","Contabilidade"
"InHouse out win %1","InHouse a premio %1","Saída de Prêmio Dentro da Casa %1"
"UNKNOWN %1","DESCONOCIDO %1","%1 DESCONHECIDO"
"Handpay was reset","El pago en mano se ha reiniciado","O pagamento manual foi redefinido"
"Hand paid UNKNOWN TYPE","Tipo de pago en mano DESCONOCIDO","TIPO DESCONHECIDO pago manualmente"
"Coin Alarm","Alarma de Moneda","Alarme de Moeda"
"Hopper Error","Error de Tolva","Erro na Cesta"
"GROUP: %1    LEVEL: %2","GRUPO %1 NIVEL: %2","GRUPO: %1 NÍVEL: %2"
"JP settings wrong for game %1 and denomination %2","Configuración JP incorrecta para juego %1 y denominación %2","Configurações de Jackpot erradas para o jogo %1 e denominação %2"
"%1 COINS","%1 MONEDAS","%1 MOEDAS"
"Select All","Seleccionar todo","Selecionar Tudo"
"Unselect All","Deselecciona todo","Desmarcar Tudo"
"General","General","Geral"
"External Bonus","Bonus Externo","Bônus Externo"
"Cashless In","Intr. Cashless","Entrada Sem Dinheiro"
"Cashless Out","Sacar Cahless","Saída Sem Dinheiro"
"Cashout","Cobrar","Saque"
"Credit In","Intr. Crédito","Entrada de Crédito"
"Handpay","Pago en Mano","Pagamento Manual"
"Voucher In","Intr. Vale","Entrada de Cupom"
"Voucher Out","Sacar Vale","Saída de Cupom"
"Progressive","Progresivo","Progressivo"
"Bill Accepted","Bill aceptado","Nota Aceita"
"%1 equals to: %2","%1 => %2","%1 é igual a: %2"
"1 %1 equals to: %2 %3","1 %1 => %2 %3","1 %1 é igual a: %2 %3"
"ID:","ID:","ID:"
"Date:","Fecha:","Data:"
"Data:","Datos:","Dados:"
"Up","Arriba","Para cima"
"Down","Abajo","Para baixo"
"Left","Izquierda","Esquerda"
"Right","Derecha","Direita"
"Date:","Fecha:","Data:"
"Time:","Hora:","Horário:"
,,
"AUTHORIZE","AUTORIZAR","AUTORIZAR"
"DEAUTHORIZE","DESAUTORIZAR","DESAUTORIZAR"
"Successfully Deauthorized!!!","¡¡¡Desautorizado con Éxito!!!","Desautorizado Com Sucesso!!!"
"Deauthorization FAIL!!!","¡¡¡FALLO en Desautorización!!!","FALHA na Desautorização!!!"
"LIFETIME TOTAL IN:","TOTAL INTRODUCIDO DESDE ORIGEN:","ENTRADA TOTAL DESDE O INÍCIO:"
"LIFETIME TOTAL OUT:","TOTAL EXTRAÍDO DESDE ORIGEN:","SAÍDA TOTAL DESDE O INÍCIO:"
"Auto played games:","Juegos auto jugados:","Jogos jogados automaticamente:"
"Set random seed:","Ajustar sembrado aleatorio","Definir semente aleatória:"
"usb key:","tecla usb:","chave USB:"
"Base code:%1","Código base:%1","Base de Código: %1"
,,
"Status:","Estado:","Situação:"
"SAS Progressive","SAS Progresivo","SAS Progressivo"
"PPC Jackpots","Jackpots PPC","Jackpots PPC"
"Roulette 1","Ruleta 1","Roleta 1"
"Roulette 2","Ruleta 2","Roleta 2"
"Roulette 3","Ruleta 3","Roleta 3"
"Voucher in:","Introducir vale:","Entrada de cupom:"
"Voucher out:","Sacar vale:","Saída de cupom:"
"Legacy Bonusing:","Bonificación Legacy:","Bônus Legado:"
"AFT:","AFT:","AFT:"
"Handpay Validation:","Validación de Pago en Mano:","Validação de Pagamento Manual:"
"Voucher Date Format:","Formato de Fecha de Vale:","Formato da Data do Cupom:"
"Cashout Validation:","Validación:","Validação de Saque:"
"Handpay Receipt:","Recibo de Pago en Mano:","Recibo de Pagamento Manual:"
"Playable Only Voucher Out:","Salida de Vale Solo Jugable:","Saída de Cupom Apenas Jogável:"
"Playable Only Voucher In:","Entrada de Vale Solo Jugable:","Entrada de Cupom Apenas Jogável:"
"Remote Handpay Reset:","Reinicio Remoto de Pago en Mano:","Redefinição Remota do Pagamento Manual:"
"Enable/Disable Machine/Games from SAS Host:","Activar/Desactivar Máquina/Juegos de Host SAS:","Ativar/Desativar Máquinas/Jogos do Host SAS:"
"Channel 1","Canal 1","Canal 1"
"Channel 2","Canal 2","Canal 2"
"Both","Ambos","Ambos"
"No Validation","Sin Validación","Sem Validação"
"System","Sistema","Sistema"
"Standard","Estándar","Padrão"
"Enhanced","Mejorado","Aprimorado"
"DD/MM/YYYY","DD/MM/YYYY","DD/MM/AAAA"
"MM/DD/YYYY","MM/DD/YYYY","MM/DD/AAAA"
,,
"CHANNEL 1","CANAL 1","CANAL 1"
"CHANNEL 2","CANAL 2","CANAL 2"
"Address:","Dirección:","Endereço:"
"Game Play Exceptions:","Excepciones de Juego:","Exceções do Jogo:"
"Handpay Reporting:","Reporte de Pago en Mano:","Relatório de Pagamentos Manuais:"
"Resend Handpay Reporting:","Reporte de Pago en Mano:","Reenviar Relatório de Pagamentos Manuais:"
"Link Down Allow Game Play:","El Enlace Inf. Permite el Juego:","Permitir Jogo com Link Fora do Ar:"
"Location:","Ubicación:","Local:"
"Address 1:","Dirección 1:","Endereço 1:"
"Address 2:","Dirección 2:","Endereço 2:"
"Expiration:","Vencimiento:","Validade:"
"Playable Only Voucher Expiration:","Vencimiento de Vale Solo Jugable:","Validade do Cupom Apenas Jogável:"
"Currency Name:","Nombre de Divisa:","Nome da Moeda:"
"Currency Subunit (1/100) Name:","Nombre de Subunidad (1/100) de Divisa:","Nome da Subunidade Monetária (1/100):"
"Currency Prefix:","Prefijo de Divisa:","Prefixo da Moeda:"
"Gaming voucher type:","Tipo de Vale de juego:","Tipo de Cupom de Jogo:"
"Firmware","Firmware","Firmware"
,,
"Host Controlled","Host Controlado","Controlado pelo Host"
"Soft","Blando","Suave"
"Hard","Duro","Bruta"
,,
"Partial Transfer:","Transferencia Parcial:","Transferência Parcial:"
"Bonus Transfer:","Transferencia de Bonus:","Transferência de Bônus:"
"Transfer to Gaming Machine:","Transferencia a Máquina de Juego:","Transferência para Máquina de Jogo:"
"Transfer from Gaming Machine:","Transferencia desde Máquina de Juego:","Transferência da Máquina de Jogos:"
"Host to Ticket Transfer:","Transferencia de Host a Ticket:","Transferência do Host para Bilhete:"
"Debit Transfer:","Transferencia de Débito:","Transferência de Débito:"
"Cash Out to Host Control:","Control del Cobro a Host:","Saque para Controle do Host:"
"Answer to Registration Poll:","Respuesta a Encuesta de Registro:","Resposta à Pesquisa de Cadastro:"
"In-house In Limit:","Límite de Entrada Interna:","Limite de Entrada Dentro da Casa:"
"In-house Out Limit:","Límite de Salida Interna:","Limite de Saída Dentro da Casa:"
"In-house In Limit","Límite de Entrada Interna","Limite de Entrada Dentro da Casa"
"In-house Out Limit","Límite de Salida Interna","Limite de Saída Dentro da Casa"
"Partial Cash Out Limit","Límite de Cobro Parcial","Limite de Saque Parcial"
,,
"Select Game:","Seleccionar Juego:","Selecionar Jogo:"
,,
"PPJS/Server Settings for Progressive","PPJS/Configuración de Servidor para Progresivo","Configurações PPJS/Servidor para Progressivo"
"PPJS/Server Settings for Primary","PPJS/Configuración de Servidor para Principal","Configurações PPJS/Servidor para Primário"
"Server Settings for Secondary","Configuración de Servidor para Secundario","Configurações do Servidor para Secundário"
"PPJS/Jackpot Setup for Progressive","PPJS/Configuración de Jackpot para Progresivo","Configuração PPJS/Jackpot para Progressivo"
"PPJS/Jackpot Setup for Standard Mystery","PPJS/Configuración de Jackpot para Misterio Estándar","Configuração PPJS/Jackpot para Mistério Padrão"
"PPJS/Jackpot Setup for Bonus Mystery","PPJS/Configuración de Jackpot para Bonus Misterio","Configuração PPJS/Jackpot para Mistério Bônus"
"Second Monitor Settings","Ajuste de Segundo Monitor","Configurações do Segundo Monitor"
"SAS Progressive","SAS Progresivo","SAS Progressivo"
,,
"Game Active:","Juego Activo:","Jogo Ativo:"
"Game Variant for Player Denomination: %1 ","Variante de Juego para Denominación de Jugador: %1","Variante de Jogo para Denominação do Jogador: %1"
"Game Variant for All Player Denominations:","Variante de Juego para Todas las Denominaciones de Jugador:","Variante de Jogo para Todas as Denominações de Jogadores:"
"Lines behaviour:","Comportamiento de líneas:","Comportamento das Linhas:"
"Balls Fast Stop:","Parada Rápida de Pelotas:","Parada Rápida de Bolas:"
"Show Statistics for: ","Mostrar estadísticas para:","Mostrar Estatísticas Para:"
"Balls Speed:","Velocidad de Pelotas:","Velocidade das Bolas:"
"%1 Hits","%1 Apariciones","%1 Acertos"
"%1 Hit","%1 Aparicione","%1 Acerto"
"Reel Ways Pay Behaviour:","Comportamiento de Ways Pay de Rodillo:","Comportamento de Pagamento das Formas de Cilindro:"
"Game Total Min Bet in credits:","Apuesta Total Min de Juego en créditos:","Aposta Mín. Total do Jogo em créditos:"
"Game Total Max Bet in credits:","Apuesta Total Máx de Juego en créditos:","Aposta Máx. Total do Jogo em créditos:"
"Max Bet/Line in credits:","Máx Apuesta/Línea en créditos:","Aposta Máx./Linha em créditos:"
"Max Bet Multiplier in credits:","Máx Multiplicador de Apuesta en créditos:","Multiplicador Máx. de Aposta em créditos:"
"Max Bet Per 2 Lines in credits:","Máx Apuesta por 2 Líneas en créditos:","Aposta Máx. Por 2 Linhas em créditos:"
"Bet scheme index:","Índice de esquema de Apuesta:","Índice do esquema de apostas:"
"n/a","n/a","n/a"
"N/A","N/A","N/A"
,,
"Selected Lines","Líneas","Linhas Selecionadas"
"Selected Ways","Direcciones Seleccionadas","Formas Selecionadas"
"Pay Scatter","Pago Scatter","Pagamento de Scatter"
"Pay Cluster","Pago Cluster","Pagar Conjunto"
"Bet/Line","Apuesta/Línea","Aposta/Linha"
"Bet","Apuesta","Aposta"
"Bet Per 2 Lines","Apuesta/2 Líneas","Aposta Por 2 Linhas"
"Bet Multiplier","Multiplicador de Apuesta","Multiplicador de Aposta"
"Total Bet","Apuesta Total","Aposta Total"
"Bet per %1 Lines","Apuesta por %1 Líneas","Aposta Por %1 Linhas"
"Reel Ways Pay","Ways Pay de Rodillo:","Pagamento das Formas dos Cilindros"
"Jumboways","Jumboways","Formas Jumbo"
,,
"SAS","SAS","SAS"
"Progressives","Progresivos","Progressivos"
"Primary Mystery","Misterio Principal","Mistério Primário"
"Secondary","Secundario","Secundário"
"Progressive:","Progresivo:","Progressivo:"
"Primary Mystery:","Misterio Principal:","Mistério Primário:"
"Secondary:","Secundario:","Secundário:"
"All Games","Todos los Juegos","Todos os Jogos"
,,
"Jackpot Splash Clear:","Limpieza de Jackpot Splash:","Limpeza do Splash de Jackpot:"
"SAS Channel:","Canal SAS:","Canal SAS:"
"Group:","Grupo:","Grupo:"
"Auto","Auto","Automático"
"Key","Llave","Chave"
"Group:","Grupo:","Grupo:"
"Progressive Level for Player Denomination: %1 ","Nivel Progresivo para Denominación de Jugador: %1","Nível Progressivo para Denominação do Jogador: %1"
,,
"Jackpot Setup","Ajuste de Jackpot","Configuração do Jackpot"
"Server Settings","Configuración de Servidor","Configurações do Servidor"
"Variant Type","Tipo de Variante","Tipo de Variante"
"Jackpot ID","ID de Jackpot","ID do Jackpot"
"Denom %1","Denom %1","Denom. %1"
"Denom 1:","Denom 1:","Denom. 1:"
"Denom 2:","Denom 2:","Denom. 2:"
"Denom 3:","Denom 3:","Denom. 3:"
"Denom 4:","Denom 4:","Denom. 4:"
"Variant Type:","Tipo de Variante:","Tipo de Variante:"
"Jackpot ID:","D de Jackpot:","ID do Jackpot:"
"Jackpot ID:","ID de Jackpot:","ID do Jackpot:"
"Variant Type:","Tipo de Variante:","Tipo de Variante:"
"Deactivation Allowed:","Desactivación Permitida:","Desativação Permitida:"
"Jackpot Active:","Jackpot Activo:","Jackpot Ativo:"
"List of PPC Serial Numbers:","Lista de Números de Serie PPC:","Lista de Números de Série PPC:"
"Selected PPC Serial Number:","Número de Serie PPC Seleccionado:","Número de Série PPC Selecionado:"
"Lady's Cards","Lady's Cards","Lady's Cards"
"PLM","PLM","PLM"
"Jackpot Cards","Jackpot Cards","Jackpot Cards"
"2 Happy Hits - 1","2 Happy Hits - 1","2 Happy Hits - 1"
"2 Happy Hits - 2","2 Happy Hits - 2","2 Happy Hits - 2"
"2 Happy Hits - 3","2 Happy Hits - 3","2 Happy Hits - 3"
"2 Happy Hits - 4","2 Happy Hits - 4","2 Happy Hits - 4"
"2 Happy Hits - 5","2 Happy Hits - 5","2 Happy Hits - 5"
"2 Happy Hits - 6","2 Happy Hits - 6","2 Happy Hits - 6"
"2 Happy Hits - 7","2 Happy Hits - 7","2 Happy Hits - 7"
"Coin Jackpot","Coin Jackpot","Coin Jackpot"
"Dragons Turn_1","Dragons Turn_1","Dragons Turn_1"
"Dragons Turn_2","Dragons Turn_2","Dragons Turn_2"
"Dragons Turn_3","Dragons Turn_3","Dragons Turn_3"
"Dragons Turn_4","Dragons Turn_4","Dragons Turn_4"
"Dragons Turn_5","Dragons Turn_5","Dragons Turn_5"
"Dragons Turn_6","Dragons Turn_6","Dragons Turn_6"
"Dragons Turn_7","Dragons Turn_7","Dragons Turn_7"
,,
"Progressive Jackpot splash clear:","Limpieza de Jackpot Splash Progresivo:","Limpeza do Splash de Jackpot Progressivo:"
"Mystery Jackpot Splash Clear:","Limpieza de Jackpot Splash Misterio:","Limpeza do Splash de Jackpot Misterioso:"
"Jackpot Bonus Auto Start Time:","Tiempo de Inicio Auto en Juego Jackpot:","Horário de Início Automático do Bônus de Jackpot:"
"Jackpot Bonus Game:","Juego Bonus Jackpot:","Jogo Bônus de Jackpot:"
"Jackpot Bonus Auto Start Time:","Tiempo de Inicio Auto en Juego Jackpot:","Horário de Início Automático do Bônus de Jackpot:"
"Roulette JP Bonus Game Behaviour:","Comportamiento de Juego Bonus en Ruleta JP:","Comportamento do Jogo Bônus de Jackpot da Roleta:"
"Jackpot Bonus Auto:","Bonus Jackpot Auto:","Bônus de Jackpot Automático:"
"Assigned Games List:","Lista de Juegos Asignados:","Lista de Jogos Atribuídos:"
"Jackpot Active Option is Valid for the Following Games Only:","La Opción Activa de Jackpot es Válida Solo para los Siguientes Juegos:","A Opção de Jackpot Ativo é Válida Apenas para os Seguintes Jogos:"
,,
"Show PPJS Jackpot Values:","Mostrar los Valores de Jackpot PPJS:","Mostrar Valores do Jackpot PPJS:"
"Second Monitor Default Page:","Página por defecto del Segundo Monitor:","Página Padrão do Segundo Monitor:"
"Paytable","Tabla de Pagos","Tabela de Pagamentos"
"PPJS Jackpot Values","Valores de Jackpot PPJS","Valores do Jackpot PPJS"
,,
"Roulette %1","Cliente %1 de Ruleta","Roleta %1"
"Roulette  %1 - %2","Ruleta %1 - %2","Roleta %1 - %2"
"Client type:","Tipo de cliente:","Tipo de cliente:"
"Color type:","Tipo de color:","Tipo de cor:"
"Protocol type:","Tipo de protocolo:","Tipo de protocolo:"
"Fast Play:","Juego rapido:","Jogo Rápido:"
"Voice Announcements:","Anuncios de Voz:","Anúncios de Voz:"
,,
"European","Europea","Europeu"
"European Live","Europea Live","Europeu ao Vivo"
"European Automatic","Europea Automática","Europeu Automático"
"European Linked Virtual","Europea Vinculado Virtual","Europeu Virtual Vinculado"
"European Stand-Alone Virtual","Europea ser único Local","Europeu Virtual Autônomo"
"American","Americana","Americano"
"American Live","Americana Live","Americano ao Vivo"
"American Automatic","Americana Automática","Americano Automático"
"American Virtual","Americana Virtual","Americano Virtual"
"American Local","Americana Local","Americano Local"
,,
"Standard","Estándar","Padrão"
"Rigel","Rigel","Rígel"
"General","General","Geral"
,,
"Denomination Settings","Ajustes de Denominación","Configurações de Denominação"
"Bet Limits and Settings","Límites de Apuesta y Ajustes","Limites e Configurações de Aposta"
"Network Settings","Ajustes de Red","Configurações de Rede"
"Dynamic Paytable","Tabla de Pagos Dinámica","Tabela de Pagamento Dinâmica"
"Wheel Settings","Ajustes de Ruleta","Configurações da Roda"
"Bet Time","Tiempo de Apuesta","Horário da Aposta"
"Idle Time","Тiempo de Inactividad","Tempo Ocioso"
,,
"Dynamic Paytable:","Tabla de Pagos Dinámica:","Tabela de Pagamento Dinâmica:"
"33x/48x/72x - RTP:","33x/48x/72x - RTP:","33x/48x/72x - RTP:"
"30x/50x/100x/150x/200x/250x/500x - RTP:","30x/50x/100x/150x/200x/250x/500x - RTP:","30x/50x/100x/150x/200x/250x/500x - RTP:"
"30x/60x/90x/120x - RTP:","30x/60x/90x/120x - RTP:","30x/60x/90x/120x - RTP:"
"Paytable","Paytable","Tabela de Pagamentos"
,,
"Machine IP address:","Dirección IP de máquina:","Endereço IP da Máquina:"
"Machine Gateway address:","Dirección de Puerta de Enlace de máquina:","Endereço do Gateway da Máquina:"
"Roulette Server IP:","IP de Servidor de Ruleta:","IP do Servidor de Roleta:"
"default server ip: 10.0.0.1","ip del servidor por defecto: 10.0.0.1","IP padrão do servidor: 10.0.0.1"
"Play Station Id:","ID de Estación de Juego:","ID da Estação de Jogo:"
"Streamer Address:","Dirección de Streamer:","Endereço do Streamer:"
"Set multicast:","Ajustar multicast:","Definir multicast:"
"Multicast Address:","Dirección de Multicast:","Endereço do Multicast:"
"PORT:","PORT:","PORTA:"
"Server version:","Versión de servidor:","Versão do Servidor:"
"Protocol version:","Versión de protocolo:","Versão do Protocolo:"
"Identity: ","Identity:","Identidade:"
"Fingerprint (UID): ","Fingerprint (UID):","Impressão Digital (UID):"
"HW ID: ","HW ID:","ID de Hardware:"
"Image checksum MD5: ","Image checksum MD5:","Código de verificação da imagem MD5:"
"Image checksum SHA1: ","Image checksum SHA1:","Código de verificação da imagem SHA1:"
"Game CF Serial Number: ","Game CF Serial Number:","Número de Série do Jogo CF:"
"CF checksum MD5: ","CF checksum MD5:","Código de verificação do CF MD5:"
"CF checksum SHA1: ","CF checksum SHA1:","Código de verificação do CF SHA1:"
"Clear CF Serial Number: ","Borrar número de serie de CF:","Limpar Número de Série do CF:"
"Cleared: ","Despejado:","Limpeza:"
"Uptime: ","Tiempo de actividad:","Tempo de Atividade:"
"PIC version: ","PIC version:","Versão PIC:"
"Server time: ","server time:","Horário do Servidor:"
"Revision: ","Revision:","Revisão:"
,,
"Address type:","Tipo de address:","Tipo de endereço:"
"IPv4","IPv4","IPv4"
"Auto","Auto","Automático"
,,
"Streamer type:","Tipo de streamer:","Tipo de streamer:"
"Analog Camera","Analog Camera","Câmera Analógica"
"Digital Camera","Digital Camera","Câmera Digital"
,,
"Client Subtype:","Client Subtype:","Subtipo de Cliente:"
"Full Size Video Stream","Full Size Video Stream","Stream de Vídeo em Tamanho Integral"
"Resizable Video Stream","Resizable Video Stream","Stream de Vídeo Redimensionável"
,,
"Streamer view zoom:","Streamer view zoom:","Zoom da visualização de streamer:"
"No Zoom","No Zoom","Sem zoom"
"x1.2","x1.2","x1,2"
"x1.5","x1.5","x1,5"
"x2","x2","x2"
,,
"Streamer view offset left:","Streamer view offset left:","Deslocamento para a esquerda da visualização de streamer:"
"Streamer view offset top:","Streamer view offset top:","Deslocamento para cima da visualização de streamer:"
"Streamer view width:","Streamer view width:","Largura da visualização de streamer:"
"Streamer view height:","Streamer view height:","Altura da visualização de streamer:"
,,
"Check Network","Comprobar Red","Verifique a Rede"
"Get Wheel Hash","Obtener Hash de Ruleta","Obter Hash da Roda"
"Validate Wheel","Validar Ruleta","Validar Roda"
,,
"Discover Roulette Server","Descubrir el servidor de ruleta","Descobrir Servidor de Roleta"
"IP","IP","IP"
"Protocol Type","Tipo de protocolo","Tipo de Protocolo"
"Wheel Name","Nombre de la rueda","Nome da Roda"
"Time Stamp","Marca Temporal","Registro de Horário"
"Video Stream Settings","Ajustes de Vídeo Streaming","Configurações de Stream de Vídeo"
"Server Settings","Configuración de Servidor","Configurações do Servidor"
"Network Settings","Ajustes de Red","Configurações de Rede"
"Controls","Control del servidor","Controles"
"Accounting","Servidor de contabilidad","Contabilidade"
"Statistics","Estadísticas del servidor","Estatísticas"
"Event Logs","Registro de eventos del servidor","Registros de Eventos"
"Server Info","Información del servidor","Informações do Servidor"
"Authorization","Autorización del servidor","Autorização"
"JP Diamond Number","Número de diamante del bote del servidor","Número de Diamante do Jackpot"
"Diamond Number JP:","Diamond Number JP:","Número de Diamante do Jackpot:"
"Base code:","Base code:","Base de Código:"
"Time left:","Tiempo restante:","Tempo restante:"
"Time to enter code:","Tiempo para ingresar código","Tempo para inserir código:"
"Remaining attempts:","Intentos restantes:","Tentativas restantes:"
"Enter code:","Ingresar código:","Inserir código:"
"Warning 'Diamonds and Sapphires' and 'Diamonds Only' options are NOT supported","Advertencia: las opciones ‘Diamantes y Zafiros’ y ‘Solo Diamantes’ NO SON soportadas","Aviso: NÃO há suporte para as opções ""Diamantes e Safiras"" e ""Somente Diamantes"""
,,
"Roulette Type:","Tipo de Ruleta","Tipo de Roleta:"
"Single Zero","Único Cero","Zero Único"
"Double Zero","Doble Cero","Zero Duplo"
"Wheel Type:","Tipo de Rodillo:","Tipo de Roda:"
"Automatic","Automático","Automática"
"Live","En Vivo","Ao vivo"
"Intrusion Behaviour:","Comportamiento Intrusivo","Comportamento de Intrusão:"
"Do Nothing","No Hacer Nada","Não Fazer Nada"
"Invalid Game","Juego Inválido","Invalidar Jogo"
"Wheel Malfunction Timeout:","Desconexión por Exceso de Tiempo por Mal Funcionamiento de Rodillo","Tempo Limite de Mau Funcionamento da Roda:"
"Blow Speed:","Velocidad de Soplo:","Velocidade de Sopro:"
"Fast play:","Juego rápido:","Jogo rápido:"
"Fast play timeout:","Desconexión por exceso de tiempo en Juego Rápido:","Tempo Limite de jogo rápido:"
"Dynamic paytable:","Tabla de pagos dinámica:","Tabela de pagamento dinâmica:"
"Secondary stream:","Stream secundario:","Stream secundário:"
"Lock","Bloqueo","Trancar"
"Blow Ball:","Soplar Pelota:","Soprar Bola:"
"Before NMB","Antes de NMB","Antes do NMB"
"After NMB","Después de NMB","Depois do NMB"
"Voice:","Voz:","Voz:"
"English","Inglés","inglês"
"French","Francés","francês"
"Spanish","Español","espanhol"
"Romanian","Rumano","Romeno"
"Hungarian","Húngaro","húngaro"
"Georgian","Georgiano","georgiano"
"German","Alemán","alemão"
"Bet Time:","Hora de Apuesta:","Horário da Aposta:"
"Last Bets Time:","Hora Últimas Apuestas:","Horário da Última Aposta:"
"Idle Launch:","Lanzamiento en Inactividad:","Lançamento Ocioso:"
"Volume Center:","Centro de Volumen:","Centro de Volume:"
"Playstation Voice:","Voz Playstation:","Voz da Estação de Jogo:"
"Color Scheme:","Esquema de Color:","Esquema de Cores:"
"Green","Verde","Verde"
"Blue","Azul","Azul"
"Red","Rojo","Vermelho"
"Black","Negro","Preto"
"Yellow","Amarillo","Amarelo"
"Classic","Clásico","Clássico"
"Auto-Maximize Video:","Auto-Maximizar Vídeo:","Maximizar Vídeo Automaticamente:"
"Stream URL:","URL de Stream:","URL do stream:"
"Show Video On Statistics:","Mostrar Video sobre Estadísticas:","Mostrar Estatísticas de Vídeo:"
"Currency Code:","Código de Divisa:","Código da Moeda:"
"Label:","Etiqueta:","Rótulo:"
"Rotor Speed:","Velocidad de Rotor:","Velocidade do Rotor:"
"Show Bet/Win Totals:","Mostrar Totales de Apuestas/Ganancias:","Mostrar Totais de Apostas/Prêmios:"
"Don't Show","No Mostrar","Não Mostrar"
"Show only Bet","Mostrar solo Apuesta","Mostrar Apenas Apostas"
"Show only Win","Mostrar solo Premio","Mostrar Apenas Prêmios"
"Show Both","Mostrar Ambos","Mostrar Ambos"
"Statistics Orientation:","Orientación de las Estadísticas","Orientação das Estatísticas:"
"FullHD Vertical","FullHD Vertical","Full HD Vertical"
"FullHD Horizontal","FullHD Horizontal","Full HD Horizontal"
"HD Vertical","HD Vertical","HD Vertical"
"HD Horizonral","HD Horizonral","HD Horizontal"
"Heartbeat:","Pulso:","Pulsação:"
"No:","No:","Não:"
"Hits:","Aciertos:","Acertos:"
"Percent:","Porcentajes:","Percentagem:"
,,
"MCS Address:","Dirección MCS:","Endereço MCS:"
"Wheel IP Address:","Dirección IP de Rodillo:","Endereço IP da Roda:"
"Subnet Mask:","Máscara de Subred:","Máscara de Subnet:"
"Default Gateway:","Puerta de Acceso por Defecto:","Gateway Padrão:"
"Interface eth:","Interfaz de ethernet:","Interface eth:"
"Require MCS:","Requerir MCS:","Exigir MCS:"
"Mechanical Counters:","Contadores Mecánicos:","Contadores Mecânicos:"
,,
"Disabled","Activado","Desabilitado"
"Enabled","Desactivado","Habilitado"
,,
"Roulette Server Serial Number","Número de Serie de Servidor de Ruleta","Número de Série do Servidor de Roleta"
"List of Serial Numbers:","Lista de Números de Serie:","Lista de Números de Série:"
"Selected Serial Number:","Número de Serie Seleccionado:","Número de Série Selecionado:"
,,
"Please wait...","Por favor, espere...","Favor aguardar..."
"Network settings are OK","La configuración de red es OK","Configurações de rede estão OK"
"Network error: %1","Error de red: %1","Erro de rede: %1"
"Cable Connection","Conexión por Cable","Conexão cabeada"
"PING - %1","PING - %1","PING - %1"
"Could not connect to server.","No se pudo conectar al servidor.","Não foi possível conectar ao servidor."
"Wheel Hash: %1","Hash de Ruleta: %1","Hash da Roda: %1"
,,
"Chip %1 Value in credits:","Valor de Ficha %1 en créditos:","Valor da Ficha %1 em créditos:"
"Repeat Partial:","Repetir Parcial:","Repetição Parcial:"
"If %1 is assigned %2 <= %3","Si %1 es asignado %2 <= %3","Se %1 for atribuído %2 <= %3"
"CBJS/VJS Mystery","Misterio CBJS/VJS","Mistério CBJS/VJS"
"Game Max Bet","Apuesta Máx de Juego","Aposta Máx. do Jogo"
"Total Game Bet","Apuesta Total de Juego","Aposta Total do Jogo"
"Straight Up Bet","Apuesta Directa","Aposta Direta"
"Split Bet","Apuesta Dividida","Aposta Dividida"
"Street Bet","Apuesta Esquina","Aposta de Rua"
"Corner & Basket Bet","Apuesta Esquina & Basket","Aposta de Quina e Cesta"
"Corner & Top Line Bet","Apuesta Esquina & Línea Superior","Aposta de Quina e Linha Superior"
"Line Bet","Apuesta de Línea","Aposta de Linha"
"Column & Dozen Bet","Apuesta a Columna & Docena","Aposta de Coluna e Dúzia"
"Even/Odd & Low/High & Red/Black Bet","Apuesta Par/Impar & Alto/Bajo & Rojo/Negro","Aposta Par/Ímpar & Baixa/Alta & Vermelha/Preta"
"Set Proportional to Straight Up Max Bet","Ajustar Proporcional a Apuesta Directa Máx","Definir Proporcional à Aposta Máx. Direta"
"Set Default Limits","Ajustar Límites por Defecto","Definir Limites Padrão"
"Configuration updated!!!","¡¡¡Configuración actualizada!!!","Configuração atualizada!!!"
,,
"%1 Roulette - Denomination Settings","%1 Ruleta - Ajustes de Denominación","Roleta %1 - Configurações de Denominação"
"Choose one of the following denominations:","Elija una de las siguientes denominaciones:","Escolha uma das seguintes denominações:"
"%1 Player Denomination %2:","Jugador %1 Denominación %2:","Jogador %1 - Denominação %2:"
,,
"Cashable Voucher In: ","Entrada de Vales Reembolsables:","Entrada de Cupom Convertível em Dinheiro:"
"Cashable Voucher In count: ","Cuenta de Entrada de Vales Reembolsables:","Contagem de Entradas de Cupons Convertíveis em Dinheiro:"
"Promotional Voucher In: ","Entrada de Vale Promocional:","Entrada de Cupom Promocional:"
"Promotional Voucher In count: ","Cuenta de Entrada de Vales Promocionales:","Contagem de Entradas de Cupons Promocionais:"
"Non-cashable Voucher In: ","Entrada de Vales No-Reembolsables:","Entrada de Cupom Não Convertível em Dinheiro:"
"Non-cashable Voucher In count: ","Cuenta de Entrada de de Vales No-Reembolsables:","Contagem de Entradas de Cupons Não Convertíveis em Dinheiro:"
"Cashable Voucher Out: ","Salida de Vales Reembolsables:","Saída de Cupom Convertível em Dinheiro:"
"Cashable Voucher Out count: ","Cuenta de Salida de Vales Reembolsables:","Contagem de Saídas de Cupons Convertíveis em Dinheiro:"
"Non-cashable Voucher Out: ","Salida de Vales No-Reembolsables:","Saída de Cupom Não Convertível em Dinheiro:"
"Non-cashable Voucher Out count: ","Cuenta de Salida de de Vales No-Reembolsables:","Contagem de Saídas de Cupons Não Convertíveis em Dinheiro:"
,,
