"KEY","EN","BG","ESP","PT"
"STR_JP_DEFAULT_PAGE_PAYTABLE","Paytable","Печалби","Tabla de Pagos","Tabela de Pagamentos"
"STR_JP_DEFAULT_PAGE_PPJS_VALUES","PPJS Jackpot Values","Стойностите на PPJS джакпота:","Valores de Jackpot PPJS","Valores do Jackpot PPJS"
,,,
"STR_ROULETTE_CLIENT","Roulette %1","Рулетка %1","Cliente %1 de Ruleta","Roleta %1"
"STR_ROULETTE_CLIENT_EXTENDED","Roulette  %1 - %2","Рулеткa %1 - %2","Ruleta %1 - %2","Roleta %1 - %2"
"STR_ROULETTE_CLIENT_TYPE","Client type:","Тип клиент:","Tipo de cliente:","Tipo de cliente:"
"STR_ROULETTE_COLOR_TYPE","Color type:","Тип на цвета:","Tipo de color:","Tipo de cor:"
"STR_ROULETTE_PROTOCOL_TYPE","Protocol type:","Тип на протокола:","Tipo de protocolo:","Tipo de protocolo:"
"STR_ROULETTE_FAST_PLAY","Fast Play:","Бърза игра:","Juego rapido:","Jogo Rápido:"
"STR_ROULETTE_VOICE_ANNOUNCEMENTS","Voice Announcements:","","Anuncios de Voz:","Anúncios de Voz:"
,,,
"STR_EUROPEAN","European","Европейска","Europea","Europeu"
"STR_EUROPEAN_LIVE","European Live","Европейска Жива","Europea Live","Europeu ao Vivo"
"STR_EUROPEAN_AUTOMATIC","European Automatic","Европейска Автоматична","Europea Automática","Europeu Automático"
"STR_EUROPEAN_VIRTUAL","European Linked Virtual","Европейска Свързана Виртуална","Europea Vinculado Virtual","Europeu Virtual Vinculado"
"STR_EUROPEAN_LOCAL","European Stand-Alone Virtual","Европейска Самостоятелна Виртуална","Europea ser único Local","Europeu Virtual Autônomo"
"STR_AMERICAN","American","Американска","Americana","Americano"
"STR_AMERICAN_LIVE","American Live","Американска Жива","Americana Live","Americano ao Vivo"
"STR_AMERICAN_AUTOMATIC","American Automatic","Американска Автоматична","Americana Automática","Americano Automático"
"STR_AMERICAN_VIRTUAL","American Virtual","Американска Виртуална","Americana Virtual","Americano Virtual"
"STR_AMERICAN_LOCAL","American Local","Американска Локална","Americana Local","Americano Local"
,,,
"STR_PROTOCOL_STANDARD","Standard","Стандарт","Estándar","Padrão"
"STR_PROTOCOL_RIGEL","Rigel","Ригел","Rigel","Rígel"
"STR_PROTOCOL_GENERAL","General","Генерал","General","Geral"
,,,
"STR_ROULETTE_DENOMINATION_SETTINGS","Denomination Settings","Настройки на деноминациите","Ajustes de Denominación","Configurações de Denominação"
"STR_ROULETTE_BET_LIMITS_SETTINGS","Bet Limits and Settings","Лимит на залога и Настройки","Límites de Apuesta y Ajustes","Limites e Configurações de Aposta"
"STR_ROULETTE_NETWORK_SETTINGS","Network Settings","Мрежови настройки","Ajustes de Red","Configurações de Rede"
"STR_ROULETTE_DYNAMIC_PAYTABLE_SETTINGS","Dynamic Paytable","","Tabla de Pagos Dinámica","Tabela de Pagamento Dinâmica"
"STR_ROULETTE_WHEEL_SETTINGS","Wheel Settings","Настройки на колелото","Ajustes de Ruleta","Configurações da Roda"
"STR_BET_TIME","Bet Time","Време за залог","Tiempo de Apuesta","Horário da Aposta"
"STR_IDLE_TIME","Idle Time","Свободно време","Тiempo de Inactividad","Tempo Ocioso"
,,,
"STR_NVRAM_ROULETTE_DYNAMIC_PAYTABLE","Dynamic Paytable:","","Tabla de Pagos Dinámica:","Tabela de Pagamento Dinâmica:"
"STR_NVRAM_ROULETTE_GOLD_PAYTABLE","33x/48x/72x - RTP:","","33x/48x/72x - RTP:","33x/48x/72x - RTP:"
"STR_NVRAM_ROULETTE_EVOLUTION_PAYTABLE","30x/50x/100x/150x/200x/250x/500x - RTP:","","30x/50x/100x/150x/200x/250x/500x - RTP:","30x/50x/100x/150x/200x/250x/500x - RTP:"
"STR_NVRAM_ROULETTE_DIAMOND_PAYTABLE","30x/60x/90x/120x - RTP:","","30x/60x/90x/120x - RTP:","30x/60x/90x/120x - RTP:"
"STR_PAYTABLE","Paytable","Paytable","Paytable","Tabela de Pagamentos"
,,,
"STR_ROULETTE_MACHINE_IP","Machine IP address:","IP на машината:","Dirección IP de máquina:","Endereço IP da Máquina:"
"STR_ROULETTE_MACHINE_GATEWAY","Machine Gateway address:","Шлюз на машината:","Dirección de Puerta de Enlace de máquina:","Endereço do Gateway da Máquina:"
"STR_ROULETTE_SERVER_IP","Roulette Server IP:","IP на рулетния сървър:","IP de Servidor de Ruleta:","IP do Servidor de Roleta:"
"STR_ROULETTE_SERVER_IP_LABEL","default server ip: 10.0.0.1","адрес по подразбиране: 10.0.0.1","ip del servidor por defecto: 10.0.0.1","IP padrão do servidor: 10.0.0.1"
"STR_ROULETTE_PLAY_STATION_ID","Play Station Id:","ID на игрално място:","ID de Estación de Juego:","ID da Estação de Jogo:"
"STR_ROULETTE_STREAMER_ADDRESS","Streamer Address:","Адрес на Стримъра:","Dirección de Streamer:","Endereço do Streamer:"
"STR_ROULETTE_MULTICAST_MODE","Set multicast:",,"Ajustar multicast:","Definir multicast:"
"STR_ROULETTE_MULTICAST_ADDRESS","Multicast Address:",,"Dirección de Multicast:","Endereço do Multicast:"
"STR_ROULETTE_MULTICAST_PORT","PORT:","ПОРТ:","PORT:","PORTA:"
"STR_ROULETTE_SERVER_VERSION","Server version:","Версия на сървъра:","Versión de servidor:","Versão do Servidor:"
"STR_ROULETTE_SERVER_PROTOCOL_VERSION","Protocol version:","Версия на протокола:","Versión de protocolo:","Versão do Protocolo:"
"STR_ROULETTE_IDENTITY","Identity: ","Identity: ","Identity:","Identidade:"
"STR_ROULETTE_FINGERPRINT","Fingerprint (UID): ","Fingerprint (UID): ","Fingerprint (UID):","Impressão Digital (UID):"
"STR_ROULETTE_HWID","HW ID: ","HW ID: ","HW ID:","ID de Hardware:"
"STR_ROULETTE_IMAGECHECKSUMMD5","Image checksum MD5: ","Image checksum MD5 ","Image checksum MD5:","Código de verificação da imagem MD5:"
"STR_ROULETTE_IMAGECHECKSUMSHA1","Image checksum SHA1: ","Image checksum SHA1: ","Image checksum SHA1:","Código de verificação da imagem SHA1:"
"STR_ROULETTE_GAMECFSERIALNUMBER","Game CF Serial Number: ","Game CF Serial Number: ","Game CF Serial Number:","Número de Série do Jogo CF:"
"STR_ROULETTE_CFCHECKSUMMD5","CF checksum MD5: ","CF checksum MD5 ","CF checksum MD5:","Código de verificação do CF MD5:"
"STR_ROULETTE_CFCHECKSUMSHA1","CF checksum SHA1: ","CF checksum SHA1: ","CF checksum SHA1:","Código de verificação do CF SHA1:"
"STR_ROULETTE_CLEARCFSERIALNUMBER","Clear CF Serial Number: ","Clear CF Serial Number: ","Borrar número de serie de CF:","Limpar Número de Série do CF:"
"STR_ROULETTE_CLEARED","Cleared: ","Изчистено: ","Despejado:","Limpeza:"
"STR_ROULETTE_UPTIME","Uptime: ","Uptime: ","Tiempo de actividad:","Tempo de Atividade:"
"STR_ROULETTE_PICVERSION","PIC version: ","PIC версия: ","PIC version:","Versão PIC:"
"STR_ROULETTE_SERVERTIME","Server time: ","Сървърно време: ","server time:","Horário do Servidor:"
"STR_ROULETTE_REVISION","Revision: ","Ревизия: ","Revision:","Revisão:"
,,,
"STR_ROULETTE_STREAMER_IP_TYPE","Address type:","Тип адрес:","Tipo de address:","Tipo de endereço:"
"STR_IPV4","IPv4","IPv4","IPv4","IPv4"
"STR_IPV6","Auto","Auto","Auto","Automático"
,,,
"STR_ROULETTE_STREAMER_TYPE","Streamer type:","Тип стриймър:","Tipo de streamer:","Tipo de streamer:"
"STR_ANALOG_CAMERA","Analog Camera","Аналогова Камера","Analog Camera","Câmera Analógica"
"STR_DIGITAL_CAMERA","Digital Camera","Цифрова Камера","Digital Camera","Câmera Digital"
,,,
"STR_ROULETTE_CLIENT_SUBTYPE","Client Subtype:","Тип подклиент:","Client Subtype:","Subtipo de Cliente:"
"STR_FULL_SIZE_VIDEO_STREAM","Full Size Video Stream","Видео Стриймър на целия екран","Full Size Video Stream","Stream de Vídeo em Tamanho Integral"
"STR_RESIZABLE_VIDEO_STREAM","Resizable Video Stream","Променящ се Видео Стриймър","Resizable Video Stream","Stream de Vídeo Redimensionável"
,,,
"STR_ROULETTE_STREAMER_VIEW_ZOOM","Streamer view zoom:","Увеличение на стриймър изгледа:","Streamer view zoom:","Zoom da visualização de streamer:"
"STR_STREAMER_ZOOM_NONE","No Zoom","Без увеличение","No Zoom","Sem zoom"
"STR_STREAMER_ZOOM_X1_2","x1.2","x1.2","x1.2","x1,2"
"STR_STREAMER_ZOOM_X1_5","x1.5","x1.5","x1.5","x1,5"
"STR_STREAMER_ZOOM_X2","x2","x2","x2","x2"
,,,
"STR_ROULETTE_STREAMER_OFFSET_LEFT","Streamer view offset left:","Отместване на стриймър изгледа от ляво:","Streamer view offset left:","Deslocamento para a esquerda da visualização de streamer:"
"STR_ROULETTE_STREAMER_OFFSET_TOP","Streamer view offset top:","Отместване на стриймър изгледа от горе:","Streamer view offset top:","Deslocamento para cima da visualização de streamer:"
"STR_ROULETTE_STREAMER_WIDTH","Streamer view width:","Широчина на стриймър изгледа:","Streamer view width:","Largura da visualização de streamer:"
"STR_ROULETTE_STREAMER_HEIGHT","Streamer view height:","Височина на стриймър изгледа:","Streamer view height:","Altura da visualização de streamer:"
,,,
"STR_ROULETTE_NETWORK_CHECK","Check Network","Проверка на мрежата","Comprobar Red","Verifique a Rede"
"STR_ROULETTE_NETWORK_GET_WHEEL_HASH","Get Wheel Hash","Вземи хеша на колелото","Obtener Hash de Ruleta","Obter Hash da Roda"
"STR_ROULETTE_NETWORK_VALIDATE_WHEEL","Validate Wheel","Валидация на колелото","Validar Ruleta","Validar Roda"
,,,
"STR_ROULETTE_NETWORK_DISCOVER_ROULETTE_SERVER","Discover Roulette Server","Намери Рулетен Сървър","Descubrir el servidor de ruleta","Descobrir Servidor de Roleta"
"STR_ROULETTE_NETWORK_DISCOVER_ROULETTE_SERVER_IP","IP","IP","IP","IP"
"STR_ROULETTE_NETWORK_DISCOVER_ROULETTE_SERVER_PROTOCOL_TYPE","Protocol Type","Тип на Протокола","Tipo de protocolo","Tipo de Protocolo"
"STR_ROULETTE_NETWORK_DISCOVER_ROULETTE_SERVER_WHEEL_NAME","Wheel Name","Име на колело","Nombre de la rueda","Nome da Roda"
"STR_ROULETTE_NETWORK_DISCOVER_ROULETTE_SERVER_TIME_STAMP","Time Stamp","Време на събитието","Marca Temporal","Registro de Horário"
"STR_ROULETTE_NETWORK_VIDEO_STREAM_SETTINGS","Video Stream Settings","Настройки на Видео Стримърa","Ajustes de Vídeo Streaming","Configurações de Stream de Vídeo"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_SETTINGS","Server Settings","Настройки на сървъра","Configuración de Servidor","Configurações do Servidor"
"STR_ROULLETTE_NETWORK_RIGEL_NETWORK_SETTINGS","Network Settings","Мрежови настройки","Ajustes de Red","Configurações de Rede"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_CONTROL","Controls","Контроли","Control del servidor","Controles"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_ACCOUNTING","Accounting","Отчет","Servidor de contabilidad","Contabilidade"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_STATISTICS","Statistics","Статистика","Estadísticas del servidor","Estatísticas"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_EVENT_LOG","Event Logs","Списък със събития","Registro de eventos del servidor","Registros de Eventos"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_INFO","Server Info","Сървърна информация","Información del servidor","Informações do Servidor"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_AUTHORIZATION","Authorization","Ауторизация","Autorización del servidor","Autorização"
"STR_ROULETTE_NETWORK_RIGEL_SERVER_JACKPOT_DN","JP Diamond Number","Джакпот Диамантено Число","Número de diamante del bote del servidor","Número de Diamante do Jackpot"
"STR_RIGEL_ROULETTE_LABEL_JACKPOT","Diamond Number JP:","Diamond Number JP:","Diamond Number JP:","Número de Diamante do Jackpot:"
"STR_RIGEL_ROULETTE_BASE_CODE","Base code:","Базов код:","Base code:","Base de Código:"
"STR_RIGEL_ROULETTE_TIME_LEFT","Time left:","","Tiempo restante:","Tempo restante:"
"STR_RIGEL_ROULETTE_TIME_TO_ENTER_CODE","Time to enter code:","","Tiempo para ingresar código","Tempo para inserir código:"
"STR_RIGEL_ROULETTE_REMAINING_ATTEMPTS","Remaining attempts:","","Intentos restantes:","Tentativas restantes:"
"STR_RIGEL_ROULETTE_ENTER_CODE","Enter code:","","Ingresar código:","Inserir código:"
"STR_RIGEL_ERROR_DIAMOND_JP_NOT_SUPPORTED","Warning 'Diamonds and Sapphires' and 'Diamonds Only' options are NOT supported","","Advertencia: las opciones ‘Diamantes y Zafiros’ y ‘Solo Diamantes’ NO SON soportadas","Aviso: NÃO há suporte para as opções ""Diamantes e Safiras"" e ""Somente Diamantes"""
,,,
"STR_RIGEL_ROULETTE_TYPE","Roulette Type:"," ","Tipo de Ruleta","Tipo de Roleta:"
"STR_RIGEL_ROULETTE_TYPE_OPTION_1","Single Zero"," ","Único Cero","Zero Único"
"STR_RIGEL_ROULETTE_TYPE_OPTION_2","Double Zero"," ","Doble Cero","Zero Duplo"
"STR_RIGEL_WHEEL_TYPE","Wheel Type:"," ","Tipo de Rodillo:","Tipo de Roda:"
"STR_RIGEL_WHEEL_TYPE_OPTION_1","Automatic"," ","Automático","Automática"
"STR_RIGEL_WHEEL_TYPE_OPTION_2","Live"," ","En Vivo","Ao vivo"
"STR_RIGEL_INTRUSION_BEHAVIOUR","Intrusion Behaviour:"," ","Comportamiento Intrusivo","Comportamento de Intrusão:"
"STR_RIGEL_INTRUSION_BEHAVIOUR_OPTION_1","Do Nothing"," ","No Hacer Nada","Não Fazer Nada"
"STR_RIGEL_INTRUSION_BEHAVIOUR_OPTION_2","Invalid Game"," ","Juego Inválido","Invalidar Jogo"
"STR_RIGEL_WHEEL_MALFUNCTION_TIMEOUT","Wheel Malfunction Timeout:"," ","Desconexión por Exceso de Tiempo por Mal Funcionamiento de Rodillo","Tempo Limite de Mau Funcionamento da Roda:"
"STR_RIGEL_BLOW_SPEED","Blow Speed:"," ","Velocidad de Soplo:","Velocidade de Sopro:"
"STR_RIGEL_PLAYER_READY_OPTION","Fast play:"," ","Juego rápido:","Jogo rápido:"
"STR_RIGEL_PLAYER_READY_TIMEOUT","Fast play timeout:"," ","Desconexión por exceso de tiempo en Juego Rápido:","Tempo Limite de jogo rápido:"
"STR_RIGEL_DYNAMIC_PAYTABLE","Dynamic paytable:"," ","Tabla de pagos dinámica:","Tabela de pagamento dinâmica:"
"STR_RIGEL_STREAM_URL_SEC","Secondary stream:"," ","Stream secundario:","Stream secundário:"
"STR_RIGEL_LOCK","Lock"," ","Bloqueo","Trancar"
"STR_RIGEL_BLOW_BALL","Blow Ball:"," ","Soplar Pelota:","Soprar Bola:"
"STR_RIGEL_BLOW_BALL_OPTION_1","Before NMB"," ","Antes de NMB","Antes do NMB"
"STR_RIGEL_BLOW_BALL_OPTION_2","After NMB"," ","Después de NMB","Depois do NMB"
"STR_RIGEL_VOICE","Voice:"," ","Voz:","Voz:"
"STR_RIGEL_VOICE_OPTION_1","English"," ","Inglés","inglês"
"STR_RIGEL_VOICE_OPTION_2","French"," ","Francés","francês"
"STR_RIGEL_VOICE_OPTION_3","Spanish"," ","Español","espanhol"
"STR_RIGEL_VOICE_OPTION_4","Romanian"," ","Rumano","Romeno"
"STR_RIGEL_VOICE_OPTION_5","Hungarian"," ","Húngaro","húngaro"
"STR_RIGEL_VOICE_OPTION_6","Georgian"," ","Georgiano","georgiano"
"STR_RIGEL_VOICE_OPTION_7","German"," ","Alemán","alemão"
"STR_RIGEL_BET_TIME","Bet Time:"," ","Hora de Apuesta:","Horário da Aposta:"
"STR_RIGEL_LAST_BETS_TIME","Last Bets Time:"," ","Hora Últimas Apuestas:","Horário da Última Aposta:"
"STR_RIGEL_IDLE_LAUNCH","Idle Launch:"," ","Lanzamiento en Inactividad:","Lançamento Ocioso:"
"STR_RIGEL_VOLUME_CENTER","Volume Center:"," ","Centro de Volumen:","Centro de Volume:"
"STR_RIGEL_PLAYSTATION_VOICE","Playstation Voice:"," ","Voz Playstation:","Voz da Estação de Jogo:"
"STR_RIGEL_COLOR_SCHEME","Color Scheme:"," ","Esquema de Color:","Esquema de Cores:"
"STR_RIGEL_COLOR_SCHEME_OPTION_1","Green"," ","Verde","Verde"
"STR_RIGEL_COLOR_SCHEME_OPTION_2","Blue"," ","Azul","Azul"
"STR_RIGEL_COLOR_SCHEME_OPTION_3","Red"," ","Rojo","Vermelho"
"STR_RIGEL_COLOR_SCHEME_OPTION_4","Black"," ","Negro","Preto"
"STR_RIGEL_COLOR_SCHEME_OPTION_5","Yellow"," ","Amarillo","Amarelo"
"STR_RIGEL_COLOR_SCHEME_OPTION_6","Classic"," ","Clásico","Clássico"
"STR_RIGEL_AUTO_MAXIMIZE_VIDEO","Auto-Maximize Video:"," ","Auto-Maximizar Vídeo:","Maximizar Vídeo Automaticamente:"
"STR_RIGEL_STREAM_URL","Stream URL:"," ","URL de Stream:","URL do stream:"
"STR_RIGEL_SHOW_VIDEO_ON_STATISTICS","Show Video On Statistics:"," ","Mostrar Video sobre Estadísticas:","Mostrar Estatísticas de Vídeo:"
"STR_RIGEL_CURRENCY_CODE","Currency Code:"," ","Código de Divisa:","Código da Moeda:"
"STR_RIGEL_LABEL","Label:"," ","Etiqueta:","Rótulo:"
"STR_RIGEL_ROTOR_SPEED","Rotor Speed:"," ","Velocidad de Rotor:","Velocidade do Rotor:"
"STR_RIGEL_SHOW_BET_WIN_TOTALS","Show Bet/Win Totals:"," ","Mostrar Totales de Apuestas/Ganancias:","Mostrar Totais de Apostas/Prêmios:"
"STR_RIGEL_SHOW_BET_WIN_TOTALS_OPTION_1","Don't Show"," ","No Mostrar","Não Mostrar"
"STR_RIGEL_SHOW_BET_WIN_TOTALS_OPTION_2","Show only Bet"," ","Mostrar solo Apuesta","Mostrar Apenas Apostas"
"STR_RIGEL_SHOW_BET_WIN_TOTALS_OPTION_3","Show only Win"," ","Mostrar solo Premio","Mostrar Apenas Prêmios"
"STR_RIGEL_SHOW_BET_WIN_TOTALS_OPTION_4","Show Both"," ","Mostrar Ambos","Mostrar Ambos"
"STR_RIGEL_STATISTICS_ORIENTATION","Statistics Orientation:"," ","Orientación de las Estadísticas","Orientação das Estatísticas:"
"STR_RIGEL_STATISTICS_ORIENTATION_OPTION_1","FullHD Vertical"," ","FullHD Vertical","Full HD Vertical"
"STR_RIGEL_STATISTICS_ORIENTATION_OPTION_2","FullHD Horizontal"," ","FullHD Horizontal","Full HD Horizontal"
"STR_RIGEL_STATISTICS_ORIENTATION_OPTION_3","HD Vertical"," ","HD Vertical","HD Vertical"
"STR_RIGEL_STATISTICS_ORIENTATION_OPTION_4","HD Horizonral"," ","HD Horizonral","HD Horizontal"
"STR_RIGEL_HEARTBEAT","Heartbeat:"," ","Pulso:","Pulsação:"
"STR_RIGEL_NUMBER","No:"," ","No:","Não:"
"STR_RIGEL_HITS","Hits:"," ","Aciertos:","Acertos:"
"STR_RIGEL_PERCENT","Percent:"," ","Porcentajes:","Percentagem:"
,,,
"STR_RIGEL_MCS_ADDRESS","MCS Address:"," ","Dirección MCS:","Endereço MCS:"
"STR_RIGEL_WHEEL_IP_ADDRESS","Wheel IP Address:"," ","Dirección IP de Rodillo:","Endereço IP da Roda:"
"STR_RIGEL_SUBNET_MASK","Subnet Mask:"," ","Máscara de Subred:","Máscara de Subnet:"
"STR_RIGEL_DEFAULT_GATEWAY","Default Gateway:"," ","Puerta de Acceso por Defecto:","Gateway Padrão:"
"STR_RIGEL_INTERFACE_ETH","Interface eth:"," ","Interfaz de ethernet:","Interface eth:"
"STR_RIGEL_REQUIRE_MCS","Require MCS:"," ","Requerir MCS:","Exigir MCS:"
"STR_RIGEL_MECHANICAL_COUNTERS","Mechanical Counters:"," ","Contadores Mecánicos:","Contadores Mecânicos:"
,,,
"STR_RIGEL_DISABLED","Disabled"," ","Activado","Desabilitado"
"STR_RIGEL_ENABLED","Enabled"," ","Desactivado","Habilitado"
,,,
"STR_ROULETTE_SERVER_SERIAL_NUMBER","Roulette Server Serial Number","Сериен Номер на Рулетния Сървър","Número de Serie de Servidor de Ruleta","Número de Série do Servidor de Roleta"
"STR_LIST_SERIAL_NUMBERS","List of Serial Numbers:","Списък на серийните номера:","Lista de Números de Serie:","Lista de Números de Série:"
"STR_SELECTED_SERIAL_NUMBER","Selected Serial Number:","Избран сериен номер:","Número de Serie Seleccionado:","Número de Série Selecionado:"
,,,
"STR_ROULETTE_NETWORK_PLEASE_WAIT","Please wait...","Моля, изчакайте ...","Por favor,"Por favor, espere...","Favor aguardar..."
"STR_ROULETTE_NETWORK_SETTINGS_OK","Network settings are OK","Мрежовите настройки са наред","La configuración de red es OK","Configurações de rede estão OK"
"STR_ROULETTE_NETWORK_ERRORS","Network error: %1","Грешка в мрежата: %1","Error de red: %1","Erro de rede: %1"
"STR_ROULETTE_NETWORK_ERROR_CABLE","Cable Connection","Кабелна връзка","Conexión por Cable","Conexão cabeada"
"STR_ROULETTE_NETWORK_ERROR_PING","PING - %1","PING - %1","PING - %1","PING - %1"
"STR_ROULETTE_NETWORK_CANNOT_CONNECT_TO_SERVER","Could not connect to server.","Не може да се свърже със сървъра.","No se pudo conectar al servidor.","Não foi possível conectar ao servidor."
"STR_ROULETTE_NETWORK_WHEEL_HASH","Wheel Hash: %1","Хеш на колелото: %1","Hash de Ruleta: %1","Hash da Roda: %1"
,,,
"STR_ROULETTE_CHIP_VALUE","Chip %1 Value in credits:","Чип %1 Стойност в кредити:","Valor de Ficha %1 en créditos:","Valor da Ficha %1 em créditos:"
"STR_ROULETTE_REPEAT_PARTIAL","Repeat Partial:",,"Repetir Parcial:","Repetição Parcial:"
"STR_ROULETTE_LIMITS_INFO","If %1 is assigned %2 <= %3","Ако %1 е присвоена %2 <= %3","Si %1 es asignado %2 <= %3","Se %1 for atribuído %2 <= %3"
"STR_ROULETTE_MYSTERY_JP_NAME","CBJS/VJS Mystery","CBJS/VJS Мистири","Misterio CBJS/VJS","Mistério CBJS/VJS"
"STR_ROULETTE_GAME_MAX_BET","Game Max Bet","Максимален залог на игра","Apuesta Máx de Juego","Aposta Máx. do Jogo"
"STR_ROULETTE_TOTAL_GAME_BET","Total Game Bet","Общ залог на игра","Apuesta Total de Juego","Aposta Total do Jogo"
"STR_ROULETTE_STRAIGHT_UP_BET","Straight Up Bet",,"Apuesta Directa","Aposta Direta"
"STR_ROULETTE_SPLIT_BET","Split Bet","Разделен залог","Apuesta Dividida","Aposta Dividida"
"STR_ROULETTE_STREET_BET","Street Bet",,"Apuesta Esquina","Aposta de Rua"
"STR_ROULETTE_CORNER_BASKET_BET","Corner & Basket Bet",,"Apuesta Esquina & Basket","Aposta de Quina e Cesta"
"STR_ROULETTE_CORNER_TOP_LINE_BET","Corner & Top Line Bet","Корнер залог и залог на горна линия","Apuesta Esquina & Línea Superior","Aposta de Quina e Linha Superior"
"STR_ROULETTE_LINE_BET","Line Bet","Залог на линия","Apuesta de Línea","Aposta de Linha"
"STR_ROULETTE_COLUMN_DOZEN_BET","Column & Dozen Bet","Колона и залог на дозина","Apuesta a Columna & Docena","Aposta de Coluna e Dúzia"
"STR_ROULETTE_ODD_HIGH_BLACK_BET","Even/Odd & Low/High & Red/Black Bet","Четно/Нечетно и Ниско/Високо и Червено/Черно Залог","Apuesta Par/Impar & Alto/Bajo & Rojo/Negro","Aposta Par/Ímpar & Baixa/Alta & Vermelha/Preta"
"STR_ROULETTE_SET_PROPORTIONAL_TO_STRAIGHT_UP_MAX_BET","Set Proportional to Straight Up Max Bet",,"Ajustar Proporcional a Apuesta Directa Máx","Definir Proporcional à Aposta Máx. Direta"
"STR_ROULETTE_SET_DEFAULT_LIMITS","Set Default Limits","Настройка на базови лимити","Ajustar Límites por Defecto","Definir Limites Padrão"
"STR_ROULETTE_CONFIGURATION_UPDATED","Configuration updated!!!","Конфигурирането се актуализира!!!","¡¡¡Configuración actualizada!!!","Configuração atualizada!!!"
,,,
"STR_ROULETTE_DENOMINATION_SETTINGS_TITLE","%1 Roulette - Denomination Settings","%1 Рулетка - Настройки на деноминация","%1 Ruleta - Ajustes de Denominación","Roleta %1 - Configurações de Denominação"
"STR_ROULETTE_CHOOSE_ONE_DENOMINATION","Choose one of the following denominations:","Изберете едно от следните деноминации:","Elija una de las siguientes denominaciones:","Escolha uma das seguintes denominações:"
"STR_ROULETTE_PLAYER_DENOMINATION","%1 Player Denomination %2:","%1 Деноминация на играч %2:","Jugador %1 Denominación %2:","Jogador %1 - Denominação %2:"
,,,
"STR_CASHABLE_VOUCHER_IN_LABEL","Cashable Voucher In: ","Ваучер за разплащане в:","Entrada de Vales Reembolsables:","Entrada de Cupom Convertível em Dinheiro:"
"STR_CASHABLE_VOUCHER_IN_COUNT_LABEL","Cashable Voucher In count: ","Ваучер за разплащане в брой:","Cuenta de Entrada de Vales Reembolsables:","Contagem de Entradas de Cupons Convertíveis em Dinheiro:"
"STR_PROMOTIONAL_VOUCHER_IN_LABEL","Promotional Voucher In: ","Промоционален ваучер в:","Entrada de Vale Promocional:","Entrada de Cupom Promocional:"
"STR_PROMOTIONAL_VOUCHER_IN_COUNT_LABEL","Promotional Voucher In count: ","Промоционален ваучер в брой:","Cuenta de Entrada de Vales Promocionales:","Contagem de Entradas de Cupons Promocionais:"
"STR_NON_CASHABLE_VOUCHER_IN_LABEL","Non-cashable Voucher In: ","Вкарани неизплатими ваучери:","Entrada de Vales No-Reembolsables:","Entrada de Cupom Não Convertível em Dinheiro:"
"STR_NON_CASHABLE_VOUCHER_IN_COUNT_LABEL","Non-cashable Voucher In count: ",,"Cuenta de Entrada de de Vales No-Reembolsables:","Contagem de Entradas de Cupons Não Convertíveis em Dinheiro:"
"STR_CASHABLE_VOUCHER_OUT_LABEL","Cashable Voucher Out: ","Изкарани ваучери за разплащане:","Salida de Vales Reembolsables:","Saída de Cupom Convertível em Dinheiro:"
"STR_CASHABLE_VOUCHER_OUT_COUNT_LABEL","Cashable Voucher Out count: ",,"Cuenta de Salida de Vales Reembolsables:","Contagem de Saídas de Cupons Convertíveis em Dinheiro:"
"STR_NON_CASHABLE_VOUCHER_OUT_LABEL","Non-cashable Voucher Out: ","Изкарване на ваучери неизплатими в брой:","Salida de Vales No-Reembolsables:","Saída de Cupom Não Convertível em Dinheiro:"
"STR_NON_CASHABLE_VOUCHER_OUT_COUNT_LABEL","Non-cashable Voucher Out count: ",,"Cuenta de Salida de de Vales No-Reembolsables:","Contagem de Saídas de Cupons Não Convertíveis em Dinheiro:"
,,,
"STR_COIN_IN_JAMS","Coin in jams: ","Монети заседнали:","Atascos de entrada de moneda:","Atolamentos da entrada de moeda:"
"STR_COIN_ALARMS","Coin Alarm: ","Монетна аларма:","Alarma de Moneda:","Alarme de Moeda:"
"STR_BILL_IN_JAMS","Bill In Jams: ","Банкноти в контейнер:","Atascos de Entrada de Billete:","Atolamentos na Entrada de Nota:"
"STR_BILLS_REJECTED","Bills Rejected: ","Отхвърлени банкноти:","Billetes Rechazados:","Notas Rejeitadas:"
"STR_COUNTERFEIT_BILL_DETECTED","Counterfeit Bill Detected: ","Открити фалшиви банкноти:","Billetes Falsos Detectados:","Notas Falsas Detectadas:"
"STR_BILL_VALIDATOR_ERRORS","Bill Validator Errors: ","Грешки при Банкното- валидатора:","Errores de Validador de Billetes:","Erros do Validador de Notas:"
"STR_HOPPER_EMPTY_LABEL","Hopper Empty: ","Хопъра е пазен:","Vaciado de Tolva:","Cesta Vazia:"
